parsed_smell,parsed_smell_identifiers,message,message_encoded
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IHostingStartup",Rename,4
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
					 EqualsValueClause
						 SimpleMemberAccessExpression
							 IdentifierName
							 IdentifierName
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName ApplicationInsightsKubernetesDiagnosticSource
				 VariableDeclarator
					 EqualsValueClause
						 SimpleMemberAccessExpression
							 IdentifierName ApplicationInsightsKubernetesDiagnosticSource
							 IdentifierName Instance",Remove,3
"
		 ConstructorDeclaration
			 ParameterList
","
		 ConstructorDeclaration
			 ParameterList",Adjustment,0
"
						 LocalDeclarationStatement
							 VariableDeclaration
								 PredefinedType
								 VariableDeclarator
									 EqualsValueClause
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
											 ArgumentList
","
						 LocalDeclarationStatement
							 VariableDeclaration
								 PredefinedType
								 VariableDeclarator
									 EqualsValueClause
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName reader
												 IdentifierName ReadLine
											 ArgumentList",Refactor,2
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 NullableType
						 PredefinedType
				 Parameter
					 PredefinedType
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 NullableType
						 PredefinedType
				 Parameter
					 PredefinedType",Rename,4
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 NullableType
						 PredefinedType
				 Parameter
					 PredefinedType
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 NullableType
						 PredefinedType
				 Parameter
					 PredefinedType",Rename,4
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 NullableType
						 PredefinedType
				 Parameter
					 PredefinedType
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 NullableType
						 PredefinedType
				 Parameter
					 PredefinedType",Rename,4
"
				 Parameter
					 PredefinedType
","
				 Parameter
					 PredefinedType",Refactor,2
"
				 ExpressionStatement
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName
							 IdentifierName
						 ArgumentList
							 Argument
								 InvocationExpression
									 SimpleMemberAccessExpression
										 IdentifierName
										 GenericName
											 TypeArgumentList
												 IdentifierName
												 IdentifierName
									 ArgumentList
","
				 ExpressionStatement
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName serviceCollection
							 IdentifierName TryAddEnumerable
						 ArgumentList
							 Argument
								 InvocationExpression
									 SimpleMemberAccessExpression
										 IdentifierName ServiceDescriptor
										 GenericName
											 TypeArgumentList
												 IdentifierName IContainerIdProvider
												 IdentifierName EnvironmentVariableContainerIdProvider
									 ArgumentList",Remove,3
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IDisposable
			 SimpleBaseType
				 IdentifierName IKsClientService",Rename,4
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName KubernetesClientConfiguration
				 VariableDeclarator",Remove,3
"
						 LocalDeclarationStatement
							 VariableDeclaration
								 NullableType
									 IdentifierName
								 VariableDeclarator
									 EqualsValueClause
										 AwaitExpression
											 InvocationExpression
												 SimpleMemberAccessExpression
													 InvocationExpression
														 SimpleMemberAccessExpression
															 SimpleMemberAccessExpression
																 IdentifierName
																 IdentifierName
															 IdentifierName
														 ArgumentList
													 IdentifierName
												 ArgumentList
													 Argument
														 FalseLiteralExpression
","
						 LocalDeclarationStatement
							 VariableDeclaration
								 NullableType
									 IdentifierName VNodeList
								 VariableDeclarator
									 EqualsValueClause
										 AwaitExpression
											 InvocationExpression
												 SimpleMemberAccessExpression
													 InvocationExpression
														 SimpleMemberAccessExpression
															 SimpleMemberAccessExpression
																 IdentifierName _kubernetesClient
																 IdentifierName CoreV
															 IdentifierName ListNodeAsync
														 ArgumentList
													 IdentifierName ConfigureAwait
												 ArgumentList
													 Argument
														 FalseLiteralExpression",Refactor,2
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IKsEnvironmentFactory",Rename,4
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName IContainerIdHolder
				 VariableDeclarator",Remove,3
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IKsEnvironmentFetcher",Rename,4
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IKsEnvironmentHolder",Rename,4
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName BackgroundService",Rename,4
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IKsInfoBootstrap",Rename,4
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName CancellationToken",Deficient,1
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IKsInfoService",Rename,4
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IKsInfoService",Rename,4
"
		 ConstructorDeclaration
			 ParameterList
				 Parameter
					 PredefinedType
","
		 ConstructorDeclaration
			 ParameterList
				 Parameter
					 PredefinedType",Adjustment,0
"
				 ReturnStatement
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName
							 IdentifierName
						 ArgumentList
							 Argument
								 IdentifierName
							 Argument
								 NameColon
									 IdentifierName
								 SimpleMemberAccessExpression
									 IdentifierName
									 IdentifierName
","
				 ReturnStatement
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName _telemetryKeyCache
							 IdentifierName GetOrAdd
						 ArgumentList
							 Argument
								 IdentifierName originalKey
							 Argument
								 NameColon
									 IdentifierName valueFactory
								 SimpleMemberAccessExpression
									 IdentifierName _options
									 IdentifierName TelemetryKeyProcessor",Deficient,1
"
	 ClassDeclaration
","
	 ClassDeclaration",Rename,4
"
	 ClassDeclaration
","
	 ClassDeclaration",Rename,4
"
				 LocalDeclarationStatement
					 VariableDeclaration
						 IdentifierName
						 VariableDeclarator
							 EqualsValueClause
								 SimpleMemberAccessExpression
									 InvocationExpression
										 SimpleMemberAccessExpression
											 IdentifierName
											 IdentifierName
										 ArgumentList
									 IdentifierName
","
				 LocalDeclarationStatement
					 VariableDeclaration
						 IdentifierName Version
						 VariableDeclarator
							 EqualsValueClause
								 SimpleMemberAccessExpression
									 InvocationExpression
										 SimpleMemberAccessExpression
											 IdentifierName assembly
											 IdentifierName GetName
										 ArgumentList
									 IdentifierName Version",Refactor,2
"
				 ReturnStatement
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName
							 IdentifierName
						 ArgumentList
","
				 ReturnStatement
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName version
							 IdentifierName ToString
						 ArgumentList",Refactor,2
"
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName
																 IdentifierName
															 ArgumentList
																 Argument
																	 IdentifierName
","
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName Task
																 IdentifierName Delay
															 ArgumentList
																 Argument
																	 IdentifierName timeout",Refactor,2
"
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName
																 IdentifierName
															 ArgumentList
																 Argument
																	 InvocationExpression
																		 SimpleMemberAccessExpression
																			 IdentifierName
																			 IdentifierName
																		 ArgumentList
																			 Argument
																				 NumericLiteralExpression
","
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName Task
																 IdentifierName Delay
															 ArgumentList
																 Argument
																	 InvocationExpression
																		 SimpleMemberAccessExpression
																			 IdentifierName TimeSpan
																			 IdentifierName FromSeconds
																		 ArgumentList
																			 Argument
																				 NumericLiteralExpression",Refactor,2
"
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName
																 IdentifierName
															 ArgumentList
																 Argument
																	 IdentifierName
","
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName Task
																 IdentifierName Delay
															 ArgumentList
																 Argument
																	 IdentifierName timeout",Refactor,2
"
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName
																 IdentifierName
															 ArgumentList
																 Argument
																	 InvocationExpression
																		 SimpleMemberAccessExpression
																			 IdentifierName
																			 IdentifierName
																		 ArgumentList
																			 Argument
																				 NumericLiteralExpression
","
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName Task
																 IdentifierName Delay
															 ArgumentList
																 Argument
																	 InvocationExpression
																		 SimpleMemberAccessExpression
																			 IdentifierName TimeSpan
																			 IdentifierName FromSeconds
																		 ArgumentList
																			 Argument
																				 NumericLiteralExpression",Refactor,2
"
													 ExpressionStatement
														 InvocationExpression
															 SimpleMemberAccessExpression
																 ParenthesizedExpression
																	 CastExpression
																		 IdentifierName
																		 IdentifierName
																 IdentifierName
															 ArgumentList
","
													 ExpressionStatement
														 InvocationExpression
															 SimpleMemberAccessExpression
																 ParenthesizedExpression
																	 CastExpression
																		 IdentifierName IKsInfoBootstrap
																		 IdentifierName target
																 IdentifierName Run
															 ArgumentList",Refactor,2
"
			 PredefinedType
			 ParameterList
","
			 PredefinedType
			 ParameterList",Deficient,1
"
				 LocalDeclarationStatement
					 VariableDeclaration
						 IdentifierName
						 VariableDeclarator
							 EqualsValueClause
								 ObjectCreationExpression
									 IdentifierName
									 ArgumentList
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
										 Argument
											 ArrayCreationExpression
												 ArrayType
													 IdentifierName
													 ArrayRankSpecifier
														 OmittedArraySizeExpression
												 ArrayInitializerExpression
","
				 LocalDeclarationStatement
					 VariableDeclaration
						 IdentifierName PodInfoManager
						 VariableDeclarator
							 EqualsValueClause
								 ObjectCreationExpression
									 IdentifierName PodInfoManager
									 ArgumentList
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName ksQueryClientMock
												 IdentifierName Object
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName containerIdHolderMock
												 IdentifierName Object
										 Argument
											 ArrayCreationExpression
												 ArrayType
													 IdentifierName IPodNameProvider
													 ArrayRankSpecifier
														 OmittedArraySizeExpression
												 ArrayInitializerExpression",Deficient,1
"
				 LocalDeclarationStatement
					 VariableDeclaration
						 IdentifierName
						 VariableDeclarator
							 EqualsValueClause
								 ObjectCreationExpression
									 IdentifierName
									 ArgumentList
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
										 Argument
											 ArrayCreationExpression
												 ArrayType
													 IdentifierName
													 ArrayRankSpecifier
														 OmittedArraySizeExpression
												 ArrayInitializerExpression
","
				 LocalDeclarationStatement
					 VariableDeclaration
						 IdentifierName PodInfoManager
						 VariableDeclarator
							 EqualsValueClause
								 ObjectCreationExpression
									 IdentifierName PodInfoManager
									 ArgumentList
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName ksQueryClientMock
												 IdentifierName Object
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName containerIdHolderMock
												 IdentifierName Object
										 Argument
											 ArrayCreationExpression
												 ArrayType
													 IdentifierName IPodNameProvider
													 ArrayRankSpecifier
														 OmittedArraySizeExpression
												 ArrayInitializerExpression",Deficient,1
"
						 LocalDeclarationStatement
							 VariableDeclaration
								 IdentifierName
								 VariableDeclarator
									 EqualsValueClause
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
											 ArgumentList
												 Argument
													 NameColon
														 IdentifierName
													 StringLiteralExpression
												 Argument
													 NameColon
														 IdentifierName
													 StringLiteralExpression
","
						 LocalDeclarationStatement
							 VariableDeclaration
								 IdentifierName var
								 VariableDeclarator
									 EqualsValueClause
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName client
												 IdentifierName AutoSuggestMethod
											 ArgumentList
												 Argument
													 NameColon
														 IdentifierName query
													 StringLiteralExpression
												 Argument
													 NameColon
														 IdentifierName market
													 StringLiteralExpression",Remove,3
