parsed_smell,parsed_smell_identifiers,message
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IHostingStartup",Rename
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
					 EqualsValueClause
						 SimpleMemberAccessExpression
							 IdentifierName
							 IdentifierName
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName ApplicationInsightsKubernetesDiagnosticSource
				 VariableDeclarator
					 EqualsValueClause
						 SimpleMemberAccessExpression
							 IdentifierName ApplicationInsightsKubernetesDiagnosticSource
							 IdentifierName Instance",Remove
"
		 ConstructorDeclaration
			 ParameterList
","
		 ConstructorDeclaration
			 ParameterList",Adjustment
"
						 LocalDeclarationStatement
							 VariableDeclaration
								 PredefinedType
								 VariableDeclarator
									 EqualsValueClause
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
											 ArgumentList
","
						 LocalDeclarationStatement
							 VariableDeclaration
								 PredefinedType
								 VariableDeclarator
									 EqualsValueClause
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName reader
												 IdentifierName ReadLine
											 ArgumentList",Refactor
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 NullableType
						 PredefinedType
				 Parameter
					 PredefinedType
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 NullableType
						 PredefinedType
				 Parameter
					 PredefinedType",Rename
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 NullableType
						 PredefinedType
				 Parameter
					 PredefinedType
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 NullableType
						 PredefinedType
				 Parameter
					 PredefinedType",Rename
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 NullableType
						 PredefinedType
				 Parameter
					 PredefinedType
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 NullableType
						 PredefinedType
				 Parameter
					 PredefinedType",Rename
"
				 Parameter
					 PredefinedType
","
				 Parameter
					 PredefinedType",Refactor
"
				 ExpressionStatement
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName
							 IdentifierName
						 ArgumentList
							 Argument
								 InvocationExpression
									 SimpleMemberAccessExpression
										 IdentifierName
										 GenericName
											 TypeArgumentList
												 IdentifierName
												 IdentifierName
									 ArgumentList
","
				 ExpressionStatement
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName serviceCollection
							 IdentifierName TryAddEnumerable
						 ArgumentList
							 Argument
								 InvocationExpression
									 SimpleMemberAccessExpression
										 IdentifierName ServiceDescriptor
										 GenericName
											 TypeArgumentList
												 IdentifierName IContainerIdProvider
												 IdentifierName EnvironmentVariableContainerIdProvider
									 ArgumentList",Remove
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IDisposable
			 SimpleBaseType
				 IdentifierName IKsClientService",Rename
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName KubernetesClientConfiguration
				 VariableDeclarator",Remove
"
						 LocalDeclarationStatement
							 VariableDeclaration
								 NullableType
									 IdentifierName
								 VariableDeclarator
									 EqualsValueClause
										 AwaitExpression
											 InvocationExpression
												 SimpleMemberAccessExpression
													 InvocationExpression
														 SimpleMemberAccessExpression
															 SimpleMemberAccessExpression
																 IdentifierName
																 IdentifierName
															 IdentifierName
														 ArgumentList
													 IdentifierName
												 ArgumentList
													 Argument
														 FalseLiteralExpression
","
						 LocalDeclarationStatement
							 VariableDeclaration
								 NullableType
									 IdentifierName VNodeList
								 VariableDeclarator
									 EqualsValueClause
										 AwaitExpression
											 InvocationExpression
												 SimpleMemberAccessExpression
													 InvocationExpression
														 SimpleMemberAccessExpression
															 SimpleMemberAccessExpression
																 IdentifierName _kubernetesClient
																 IdentifierName CoreV
															 IdentifierName ListNodeAsync
														 ArgumentList
													 IdentifierName ConfigureAwait
												 ArgumentList
													 Argument
														 FalseLiteralExpression",Refactor
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IKsEnvironmentFactory",Rename
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName IContainerIdHolder
				 VariableDeclarator",Remove
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IKsEnvironmentFetcher",Rename
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IKsEnvironmentHolder",Rename
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName BackgroundService",Rename
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IKsInfoBootstrap",Rename
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName CancellationToken",Deficient
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IKsInfoService",Rename
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IKsInfoService",Rename
"
		 ConstructorDeclaration
			 ParameterList
				 Parameter
					 PredefinedType
","
		 ConstructorDeclaration
			 ParameterList
				 Parameter
					 PredefinedType",Adjustment
"
				 ReturnStatement
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName
							 IdentifierName
						 ArgumentList
							 Argument
								 IdentifierName
							 Argument
								 NameColon
									 IdentifierName
								 SimpleMemberAccessExpression
									 IdentifierName
									 IdentifierName
","
				 ReturnStatement
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName _telemetryKeyCache
							 IdentifierName GetOrAdd
						 ArgumentList
							 Argument
								 IdentifierName originalKey
							 Argument
								 NameColon
									 IdentifierName valueFactory
								 SimpleMemberAccessExpression
									 IdentifierName _options
									 IdentifierName TelemetryKeyProcessor",Deficient
"
	 ClassDeclaration
","
	 ClassDeclaration",Rename
"
	 ClassDeclaration
","
	 ClassDeclaration",Rename
"
				 LocalDeclarationStatement
					 VariableDeclaration
						 IdentifierName
						 VariableDeclarator
							 EqualsValueClause
								 SimpleMemberAccessExpression
									 InvocationExpression
										 SimpleMemberAccessExpression
											 IdentifierName
											 IdentifierName
										 ArgumentList
									 IdentifierName
","
				 LocalDeclarationStatement
					 VariableDeclaration
						 IdentifierName Version
						 VariableDeclarator
							 EqualsValueClause
								 SimpleMemberAccessExpression
									 InvocationExpression
										 SimpleMemberAccessExpression
											 IdentifierName assembly
											 IdentifierName GetName
										 ArgumentList
									 IdentifierName Version",Refactor
"
				 ReturnStatement
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName
							 IdentifierName
						 ArgumentList
","
				 ReturnStatement
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName version
							 IdentifierName ToString
						 ArgumentList",Refactor
"
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName
																 IdentifierName
															 ArgumentList
																 Argument
																	 IdentifierName
","
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName Task
																 IdentifierName Delay
															 ArgumentList
																 Argument
																	 IdentifierName timeout",Refactor
"
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName
																 IdentifierName
															 ArgumentList
																 Argument
																	 InvocationExpression
																		 SimpleMemberAccessExpression
																			 IdentifierName
																			 IdentifierName
																		 ArgumentList
																			 Argument
																				 NumericLiteralExpression
","
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName Task
																 IdentifierName Delay
															 ArgumentList
																 Argument
																	 InvocationExpression
																		 SimpleMemberAccessExpression
																			 IdentifierName TimeSpan
																			 IdentifierName FromSeconds
																		 ArgumentList
																			 Argument
																				 NumericLiteralExpression",Refactor
"
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName
																 IdentifierName
															 ArgumentList
																 Argument
																	 IdentifierName
","
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName Task
																 IdentifierName Delay
															 ArgumentList
																 Argument
																	 IdentifierName timeout",Refactor
"
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName
																 IdentifierName
															 ArgumentList
																 Argument
																	 InvocationExpression
																		 SimpleMemberAccessExpression
																			 IdentifierName
																			 IdentifierName
																		 ArgumentList
																			 Argument
																				 NumericLiteralExpression
","
												 ExpressionStatement
													 AwaitExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName Task
																 IdentifierName Delay
															 ArgumentList
																 Argument
																	 InvocationExpression
																		 SimpleMemberAccessExpression
																			 IdentifierName TimeSpan
																			 IdentifierName FromSeconds
																		 ArgumentList
																			 Argument
																				 NumericLiteralExpression",Refactor
"
													 ExpressionStatement
														 InvocationExpression
															 SimpleMemberAccessExpression
																 ParenthesizedExpression
																	 CastExpression
																		 IdentifierName
																		 IdentifierName
																 IdentifierName
															 ArgumentList
","
													 ExpressionStatement
														 InvocationExpression
															 SimpleMemberAccessExpression
																 ParenthesizedExpression
																	 CastExpression
																		 IdentifierName IKsInfoBootstrap
																		 IdentifierName target
																 IdentifierName Run
															 ArgumentList",Refactor
"
			 PredefinedType
			 ParameterList
","
			 PredefinedType
			 ParameterList",Deficient
