parsed_smell,parsed_smell_identifiers,message
,,"The logging message template should not vary between calls to 'LoggerExtensions.LogCritical(ILogger, Exception?, string?, params object?[])'"
"
		20 PropertyDeclaration
			20 GenericName
				20 TypeArgumentList
					20 NullableType
						20 PredefinedType
			20 AccessorList
				20 GetAccessorDeclaration
				20 SetAccessorDeclaration","
		20 PropertyDeclaration
			20 GenericName
				20 TypeArgumentList
					20 NullableType
						20 PredefinedType
			20 AccessorList
				20 GetAccessorDeclaration
				20 SetAccessorDeclaration",The annotation for nullable reference types should only be used in code within a '#nullable' annotations context.
"
				42 LocalDeclarationStatement
					42 VariableDeclaration
						42 NullableType
							42 PredefinedType
						42 VariableDeclarator
							42 EqualsValueClause
								42 InvocationExpression
									42 SimpleMemberAccessExpression
										42 SimpleMemberAccessExpression
											42 IdentifierName
											42 IdentifierName
										42 IdentifierName
									42 ArgumentList
										42 Argument
											42 IdentifierName","
				42 LocalDeclarationStatement
					42 VariableDeclaration
						42 NullableType
							42 PredefinedType
						42 VariableDeclarator
							42 EqualsValueClause
								42 InvocationExpression
									42 SimpleMemberAccessExpression
										42 SimpleMemberAccessExpression
											42 IdentifierName context
											42 IdentifierName ParseResult
										42 IdentifierName GetValueForOption
									42 ArgumentList
										42 Argument
											42 IdentifierName VersionOption",The annotation for nullable reference types should only be used in code within a '#nullable' annotations context.
,,"The logging message template should not vary between calls to 'LoggerExtensions.LogCritical(ILogger, Exception?, string?, params object?[])'"
,,"The logging message template should not vary between calls to 'LoggerExtensions.LogCritical(ILogger, Exception?, string?, params object?[])'"
"
	7 ClassDeclaration","
	7 ClassDeclaration",Add a 'protected' constructor or the 'static' keyword to the class declaration.
"
	33 ClassDeclaration","
	33 ClassDeclaration",Add a 'protected' constructor or the 'static' keyword to the class declaration.
"
		38 MethodDeclaration
			38 IdentifierName
			38 ParameterList","
		38 MethodDeclaration
			38 IdentifierName Task
			38 ParameterList","Split this method into two, one handling parameters check and the other handling the asynchronous code."
"
				44 Parameter
					44 NullableType
						44 PredefinedType","
				44 Parameter
					44 NullableType
						44 PredefinedType",The annotation for nullable reference types should only be used in code within a '#nullable' annotations context.
"
						68 EmptyStatement","
						68 EmptyStatement",Remove this empty statement.
"
				128 ExpressionStatement
					128 InvocationExpression
						128 SimpleMemberAccessExpression
							128 IdentifierName
							128 IdentifierName
						128 ArgumentList
							128 Argument
								128 InterpolatedStringExpression
									128 InterpolatedStringText
									128 Interpolation
										128 SimpleMemberAccessExpression
											128 IdentifierName
											128 IdentifierName
									128 InterpolatedStringText","
				128 ExpressionStatement
					128 InvocationExpression
						128 SimpleMemberAccessExpression
							128 IdentifierName logger
							128 IdentifierName LogTrace
						128 ArgumentList
							128 Argument
								128 InterpolatedStringExpression
									128 InterpolatedStringText
									128 Interpolation
										128 SimpleMemberAccessExpression
											128 IdentifierName stopwatch
											128 IdentifierName ElapsedMilliseconds
									128 InterpolatedStringText","The logging message template should not vary between calls to 'LoggerExtensions.LogTrace(ILogger, string?, params object?[])'"
,,"The logging message template should not vary between calls to 'LoggerExtensions.BeginScope(ILogger, string, params object?[])'"
,,"Split this method into two, one handling parameters check and the other handling the asynchronous code."
,,"The logging message template should not vary between calls to 'LoggerExtensions.LogInformation(ILogger, string?, params object?[])'"
,,"The logging message template should not vary between calls to 'LoggerExtensions.BeginScope(ILogger, string, params object?[])'"
,,"Split this method into two, one handling parameters check and the other handling the asynchronous code."
,,"The logging message template should not vary between calls to 'LoggerExtensions.LogError(ILogger, string?, params object?[])'"
"
						21 IfStatement
							21 LogicalAndExpression
								21 GreaterThanOrEqualExpression
									21 IdentifierName
									21 NumericLiteralExpression
								21 LessThanExpression
									21 IdentifierName
									21 NumericLiteralExpression","
						21 IfStatement
							21 LogicalAndExpression
								21 GreaterThanOrEqualExpression
									21 IdentifierName result
									21 NumericLiteralExpression
								21 LessThanExpression
									21 IdentifierName result
									21 NumericLiteralExpression",Merge this if statement with the enclosing one.
"
				45 LocalDeclarationStatement
					45 VariableDeclaration
						45 IdentifierName
						45 VariableDeclarator
							45 EqualsValueClause
								45 ObjectCreationExpression
									45 GenericName
										45 TypeArgumentList
											45 NullableType
												45 PredefinedType
									45 ArgumentList
										45 Argument
											45 StringLiteralExpression
										45 Argument
											45 StringLiteralExpression","
				45 LocalDeclarationStatement
					45 VariableDeclaration
						45 IdentifierName var
						45 VariableDeclarator
							45 EqualsValueClause
								45 ObjectCreationExpression
									45 GenericName
										45 TypeArgumentList
											45 NullableType
												45 PredefinedType
									45 ArgumentList
										45 Argument
											45 StringLiteralExpression
										45 Argument
											45 StringLiteralExpression",The annotation for nullable reference types should only be used in code within a '#nullable' annotations context.
,,All 'Visit' method overloads should be adjacent.
,,Rename parameter 'operation' to 'link' to match the base class declaration.
"
		13 BaseList
			13 SimpleBaseType
				13 IdentifierName","
		13 BaseList
			13 SimpleBaseType
				13 IdentifierName OpenApiException",Update this implementation of 'ISerializable' to conform to the recommended serialization pattern.
"
		12 BaseList
			12 SimpleBaseType
				12 IdentifierName","
		12 BaseList
			12 SimpleBaseType
				12 IdentifierName Exception",Update this implementation of 'ISerializable' to conform to the recommended serialization pattern.
"
				62 IfStatement
					62 IsExpression
						62 IdentifierName
						62 IdentifierName","
				62 IfStatement
					62 IsExpression
						62 IdentifierName input
						62 IdentifierName MemoryStream",Replace this type-check-and-cast sequence with an 'as' and a null check.
"
													39 IfStatement
														39 LogicalNotExpression
															39 InvocationExpression
																39 SimpleMemberAccessExpression
																	39 SimpleMemberAccessExpression
																		39 IdentifierName
																		39 IdentifierName
																	39 IdentifierName
																39 ArgumentList
																	39 Argument
																		39 ObjectCreationExpression
																			39 IdentifierName
																			39 ArgumentList
																				39 Argument
																					39 IdentifierName
																	39 Argument
																		39 IdentifierName","
													39 IfStatement
														39 LogicalNotExpression
															39 InvocationExpression
																39 SimpleMemberAccessExpression
																	39 SimpleMemberAccessExpression
																		39 IdentifierName map
																		39 IdentifierName Children
																	39 IdentifierName TryGetValue
																39 ArgumentList
																	39 Argument
																		39 ObjectCreationExpression
																			39 IdentifierName YamlScalarNode
																			39 ArgumentList
																				39 Argument
																					39 IdentifierName token
																	39 Argument
																		39 IdentifierName pointer",Merge this if statement with the enclosing one.
"
									28 Argument
										28 InterpolatedStringExpression
											28 InterpolatedStringText
											28 Interpolation
												28 SimpleMemberAccessExpression
													28 SimpleMemberAccessExpression
														28 IdentifierName
														28 IdentifierName
													28 IdentifierName
											28 InterpolatedStringText
											28 Interpolation
												28 SimpleMemberAccessExpression
													28 TypeOfExpression
														28 IdentifierName
													28 IdentifierName
									28 Argument
										28 IdentifierName","
									28 Argument
										28 InterpolatedStringExpression
											28 InterpolatedStringText
											28 Interpolation
												28 SimpleMemberAccessExpression
													28 SimpleMemberAccessExpression
														28 IdentifierName _nodeList
														28 IdentifierName Start
													28 IdentifierName Line
											28 InterpolatedStringText
											28 Interpolation
												28 SimpleMemberAccessExpression
													28 TypeOfExpression
														28 IdentifierName T
													28 IdentifierName Name
									28 Argument
										28 IdentifierName _nodeList",'_nodeList' is null on at least one execution path.
"
									48 Argument
										48 InterpolatedStringExpression
											48 InterpolatedStringText
											48 Interpolation
												48 SimpleMemberAccessExpression
													48 SimpleMemberAccessExpression
														48 IdentifierName
														48 IdentifierName
													48 IdentifierName
											48 InterpolatedStringText
											48 Interpolation
												48 SimpleMemberAccessExpression
													48 TypeOfExpression
														48 IdentifierName
													48 IdentifierName
									48 Argument
										48 IdentifierName","
									48 Argument
										48 InterpolatedStringExpression
											48 InterpolatedStringText
											48 Interpolation
												48 SimpleMemberAccessExpression
													48 SimpleMemberAccessExpression
														48 IdentifierName _nodeList
														48 IdentifierName Start
													48 IdentifierName Line
											48 InterpolatedStringText
											48 Interpolation
												48 SimpleMemberAccessExpression
													48 TypeOfExpression
														48 IdentifierName T
													48 IdentifierName Name
									48 Argument
										48 IdentifierName _nodeList",'_nodeList' is null on at least one execution path.
"
										41 GenericName
											41 TypeArgumentList
												41 IdentifierName
									41 ArgumentList","
										41 GenericName
											41 TypeArgumentList
												41 IdentifierName PropertyNode
									41 ArgumentList",Remove this unnecessary cast to 'IEnumerable<PropertyNode>'.
"
															75 ExpressionStatement
																75 SimpleAssignmentExpression
																	75 IdentifierName
																	75 ConditionalExpression
																		75 EqualsExpression
																			75 AsExpression
																				75 SimpleMemberAccessExpression
																					75 IdentifierName
																					75 IdentifierName
																				75 IdentifierName
																			75 NullLiteralExpression","
															75 ExpressionStatement
																75 SimpleAssignmentExpression
																	75 IdentifierName value
																	75 ConditionalExpression
																		75 EqualsExpression
																			75 AsExpression
																				75 SimpleMemberAccessExpression
																					75 IdentifierName n
																					75 IdentifierName Value
																				75 IdentifierName YamlMappingNode
																			75 NullLiteralExpression",Use the 'is' operator instead.
"
														80 Block","
														80 Block",Either remove or fill this block of code.
"
														90 Block","
														90 Block",Either remove or fill this block of code.
"
												95 IfStatement
													95 InvocationExpression
														95 SimpleMemberAccessExpression
															95 IdentifierName
															95 IdentifierName
														95 ArgumentList
															95 Argument
																95 IdentifierName
															95 Argument
																95 SimpleMemberAccessExpression
																	95 IdentifierName
																	95 IdentifierName
															95 Argument
																95 SimpleMemberAccessExpression
																	95 IdentifierName
																	95 IdentifierName
															95 Argument
																95 DeclarationExpression
																	95 IdentifierName
																	95 SingleVariableDesignation","
												95 IfStatement
													95 InvocationExpression
														95 SimpleMemberAccessExpression
															95 IdentifierName DateTimeOffset
															95 IdentifierName TryParse
														95 ArgumentList
															95 Argument
																95 IdentifierName value
															95 Argument
																95 SimpleMemberAccessExpression
																	95 IdentifierName CultureInfo
																	95 IdentifierName InvariantCulture
															95 Argument
																95 SimpleMemberAccessExpression
																	95 IdentifierName DateTimeStyles
																	95 IdentifierName None
															95 Argument
																95 DeclarationExpression
																	95 IdentifierName var
																	95 SingleVariableDesignation",Merge this if statement with the enclosing one.
"
												103 IfStatement
													103 InvocationExpression
														103 SimpleMemberAccessExpression
															103 IdentifierName
															103 IdentifierName
														103 ArgumentList
															103 Argument
																103 IdentifierName
															103 Argument
																103 SimpleMemberAccessExpression
																	103 IdentifierName
																	103 IdentifierName
															103 Argument
																103 SimpleMemberAccessExpression
																	103 IdentifierName
																	103 IdentifierName
															103 Argument
																103 DeclarationExpression
																	103 IdentifierName
																	103 SingleVariableDesignation","
												103 IfStatement
													103 InvocationExpression
														103 SimpleMemberAccessExpression
															103 IdentifierName DateTimeOffset
															103 IdentifierName TryParse
														103 ArgumentList
															103 Argument
																103 IdentifierName value
															103 Argument
																103 SimpleMemberAccessExpression
																	103 IdentifierName CultureInfo
																	103 IdentifierName InvariantCulture
															103 Argument
																103 SimpleMemberAccessExpression
																	103 IdentifierName DateTimeStyles
																	103 IdentifierName None
															103 Argument
																103 DeclarationExpression
																	103 IdentifierName var
																	103 SingleVariableDesignation",Merge this if statement with the enclosing one.
"
									159 IfStatement
										159 InvocationExpression
											159 SimpleMemberAccessExpression
												159 PredefinedType
												159 IdentifierName
											159 ArgumentList
												159 Argument
													159 IdentifierName
												159 Argument
													159 SimpleMemberAccessExpression
														159 IdentifierName
														159 IdentifierName
												159 Argument
													159 SimpleMemberAccessExpression
														159 IdentifierName
														159 IdentifierName
												159 Argument
													159 DeclarationExpression
														159 IdentifierName
														159 SingleVariableDesignation","
									159 IfStatement
										159 InvocationExpression
											159 SimpleMemberAccessExpression
												159 PredefinedType
												159 IdentifierName TryParse
											159 ArgumentList
												159 Argument
													159 IdentifierName value
												159 Argument
													159 SimpleMemberAccessExpression
														159 IdentifierName NumberStyles
														159 IdentifierName Integer
												159 Argument
													159 SimpleMemberAccessExpression
														159 IdentifierName CultureInfo
														159 IdentifierName InvariantCulture
												159 Argument
													159 DeclarationExpression
														159 IdentifierName var
														159 SingleVariableDesignation",Merge this if statement with the enclosing one.
"
									167 IfStatement
										167 InvocationExpression
											167 SimpleMemberAccessExpression
												167 PredefinedType
												167 IdentifierName
											167 ArgumentList
												167 Argument
													167 IdentifierName
												167 Argument
													167 SimpleMemberAccessExpression
														167 IdentifierName
														167 IdentifierName
												167 Argument
													167 SimpleMemberAccessExpression
														167 IdentifierName
														167 IdentifierName
												167 Argument
													167 DeclarationExpression
														167 IdentifierName
														167 SingleVariableDesignation","
									167 IfStatement
										167 InvocationExpression
											167 SimpleMemberAccessExpression
												167 PredefinedType
												167 IdentifierName TryParse
											167 ArgumentList
												167 Argument
													167 IdentifierName value
												167 Argument
													167 SimpleMemberAccessExpression
														167 IdentifierName NumberStyles
														167 IdentifierName Integer
												167 Argument
													167 SimpleMemberAccessExpression
														167 IdentifierName CultureInfo
														167 IdentifierName InvariantCulture
												167 Argument
													167 DeclarationExpression
														167 IdentifierName var
														167 SingleVariableDesignation",Merge this if statement with the enclosing one.
