parsed_smell,parsed_smell_identifiers,message
"
		20 PropertyDeclaration
			20 GenericName
				20 TypeArgumentList
					20 NullableType
						20 PredefinedType
			20 AccessorList
				20 GetAccessorDeclaration
				20 SetAccessorDeclaration","
		20 PropertyDeclaration
			20 GenericName
				20 TypeArgumentList
					20 NullableType
						20 PredefinedType
			20 AccessorList
				20 GetAccessorDeclaration
				20 SetAccessorDeclaration",Refactor
"
				42 LocalDeclarationStatement
					42 VariableDeclaration
						42 NullableType
							42 PredefinedType
						42 VariableDeclarator
							42 EqualsValueClause
								42 InvocationExpression
									42 SimpleMemberAccessExpression
										42 SimpleMemberAccessExpression
											42 IdentifierName
											42 IdentifierName
										42 IdentifierName
									42 ArgumentList
										42 Argument
											42 IdentifierName","
				42 LocalDeclarationStatement
					42 VariableDeclaration
						42 NullableType
							42 PredefinedType
						42 VariableDeclarator
							42 EqualsValueClause
								42 InvocationExpression
									42 SimpleMemberAccessExpression
										42 SimpleMemberAccessExpression
											42 IdentifierName context
											42 IdentifierName ParseResult
										42 IdentifierName GetValueForOption
									42 ArgumentList
										42 Argument
											42 IdentifierName VersionOption",Refactor
"
	7 ClassDeclaration","
	7 ClassDeclaration",Deficient
"
	33 ClassDeclaration","
	33 ClassDeclaration",Deficient
"
		38 MethodDeclaration
			38 IdentifierName
			38 ParameterList","
		38 MethodDeclaration
			38 IdentifierName Task
			38 ParameterList",Refactor
"
				44 Parameter
					44 NullableType
						44 PredefinedType","
				44 Parameter
					44 NullableType
						44 PredefinedType",Refactor
"
						68 EmptyStatement","
						68 EmptyStatement",Remove
"
				128 ExpressionStatement
					128 InvocationExpression
						128 SimpleMemberAccessExpression
							128 IdentifierName
							128 IdentifierName
						128 ArgumentList
							128 Argument
								128 InterpolatedStringExpression
									128 InterpolatedStringText
									128 Interpolation
										128 SimpleMemberAccessExpression
											128 IdentifierName
											128 IdentifierName
									128 InterpolatedStringText","
				128 ExpressionStatement
					128 InvocationExpression
						128 SimpleMemberAccessExpression
							128 IdentifierName logger
							128 IdentifierName LogTrace
						128 ArgumentList
							128 Argument
								128 InterpolatedStringExpression
									128 InterpolatedStringText
									128 Interpolation
										128 SimpleMemberAccessExpression
											128 IdentifierName stopwatch
											128 IdentifierName ElapsedMilliseconds
									128 InterpolatedStringText",Refactor
"
						21 IfStatement
							21 LogicalAndExpression
								21 GreaterThanOrEqualExpression
									21 IdentifierName
									21 NumericLiteralExpression
								21 LessThanExpression
									21 IdentifierName
									21 NumericLiteralExpression","
						21 IfStatement
							21 LogicalAndExpression
								21 GreaterThanOrEqualExpression
									21 IdentifierName result
									21 NumericLiteralExpression
								21 LessThanExpression
									21 IdentifierName result
									21 NumericLiteralExpression",Refactor
"
				45 LocalDeclarationStatement
					45 VariableDeclaration
						45 IdentifierName
						45 VariableDeclarator
							45 EqualsValueClause
								45 ObjectCreationExpression
									45 GenericName
										45 TypeArgumentList
											45 NullableType
												45 PredefinedType
									45 ArgumentList
										45 Argument
											45 StringLiteralExpression
										45 Argument
											45 StringLiteralExpression","
				45 LocalDeclarationStatement
					45 VariableDeclaration
						45 IdentifierName var
						45 VariableDeclarator
							45 EqualsValueClause
								45 ObjectCreationExpression
									45 GenericName
										45 TypeArgumentList
											45 NullableType
												45 PredefinedType
									45 ArgumentList
										45 Argument
											45 StringLiteralExpression
										45 Argument
											45 StringLiteralExpression",Refactor
"
		13 BaseList
			13 SimpleBaseType
				13 IdentifierName","
		13 BaseList
			13 SimpleBaseType
				13 IdentifierName OpenApiException",Refactor
"
		12 BaseList
			12 SimpleBaseType
				12 IdentifierName","
		12 BaseList
			12 SimpleBaseType
				12 IdentifierName Exception",Refactor
"
				62 IfStatement
					62 IsExpression
						62 IdentifierName
						62 IdentifierName","
				62 IfStatement
					62 IsExpression
						62 IdentifierName input
						62 IdentifierName MemoryStream",Refactor
