line_number,modified_ast
20,PropertyDeclaration 20 GenericName 20 TypeArgumentList 20 NullableType 20 PredefinedType 20 AccessorList 20 GetAccessorDeclaration 20 SetAccessorDeclaration
42,LocalDeclarationStatement 42 VariableDeclaration 42 NullableType 42 PredefinedType 42 VariableDeclarator 42 EqualsValueClause 42 InvocationExpression 42 SimpleMemberAccessExpression 42 SimpleMemberAccessExpression 42 IdentifierName 42 IdentifierName 42 IdentifierName 42 ArgumentList 42 Argument 42 IdentifierName
7,ClassDeclaration
33,ClassDeclaration
38,MethodDeclaration 38 IdentifierName 38 ParameterList
44,Parameter 44 NullableType 44 PredefinedType
68,EmptyStatement
128,ExpressionStatement 128 InvocationExpression 128 SimpleMemberAccessExpression 128 IdentifierName 128 IdentifierName 128 ArgumentList 128 Argument 128 InterpolatedStringExpression 128 InterpolatedStringText 128 Interpolation 128 SimpleMemberAccessExpression 128 IdentifierName 128 IdentifierName 128 InterpolatedStringText
21,IfStatement 21 LogicalAndExpression 21 GreaterThanOrEqualExpression 21 IdentifierName 21 NumericLiteralExpression 21 LessThanExpression 21 IdentifierName 21 NumericLiteralExpression
45,LocalDeclarationStatement 45 VariableDeclaration 45 IdentifierName 45 VariableDeclarator 45 EqualsValueClause 45 ObjectCreationExpression 45 GenericName 45 TypeArgumentList 45 NullableType 45 PredefinedType 45 ArgumentList 45 Argument 45 StringLiteralExpression 45 Argument 45 StringLiteralExpression
13,BaseList 13 SimpleBaseType 13 IdentifierName
12,BaseList 12 SimpleBaseType 12 IdentifierName
62,IfStatement 62 IsExpression 62 IdentifierName 62 IdentifierName
39,IfStatement 39 LogicalNotExpression 39 InvocationExpression 39 SimpleMemberAccessExpression 39 SimpleMemberAccessExpression 39 IdentifierName 39 IdentifierName 39 IdentifierName 39 ArgumentList 39 Argument 39 ObjectCreationExpression 39 IdentifierName 39 ArgumentList 39 Argument 39 IdentifierName 39 Argument 39 IdentifierName
