parsed_smell,parsed_smell_identifiers,message
"
	9 ClassDeclaration
		9 BaseList
			9 SimpleBaseType
				9 IdentifierName
","
	9 ClassDeclaration
		9 BaseList
			9 SimpleBaseType
				9 IdentifierName IHostingStartup",Rename
"
		10 FieldDeclaration
			10 VariableDeclaration
				10 IdentifierName
				10 VariableDeclarator
					10 EqualsValueClause
						10 SimpleMemberAccessExpression
							10 IdentifierName
							10 IdentifierName
","
		10 FieldDeclaration
			10 VariableDeclaration
				10 IdentifierName ApplicationInsightsKubernetesDiagnosticSource
				10 VariableDeclarator
					10 EqualsValueClause
						10 SimpleMemberAccessExpression
							10 IdentifierName ApplicationInsightsKubernetesDiagnosticSource
							10 IdentifierName Instance",Remove
"
		16 ConstructorDeclaration
			16 ParameterList
","
		16 ConstructorDeclaration
			16 ParameterList",Adjustment
"
						48 LocalDeclarationStatement
							48 VariableDeclaration
								48 PredefinedType
								48 VariableDeclarator
									48 EqualsValueClause
										48 InvocationExpression
											48 SimpleMemberAccessExpression
												48 IdentifierName
												48 IdentifierName
											48 ArgumentList
","
						48 LocalDeclarationStatement
							48 VariableDeclaration
								48 PredefinedType
								48 VariableDeclarator
									48 EqualsValueClause
										48 InvocationExpression
											48 SimpleMemberAccessExpression
												48 IdentifierName reader
												48 IdentifierName ReadLine
											48 ArgumentList",Refactor
"
		14 MethodDeclaration
			14 PredefinedType
			14 ParameterList
				14 Parameter
					14 NullableType
						14 PredefinedType
				14 Parameter
					14 PredefinedType
","
		14 MethodDeclaration
			14 PredefinedType
			14 ParameterList
				14 Parameter
					14 NullableType
						14 PredefinedType
				14 Parameter
					14 PredefinedType",Rename
"
		23 MethodDeclaration
			23 PredefinedType
			23 ParameterList
				23 Parameter
					23 NullableType
						23 PredefinedType
				23 Parameter
					23 PredefinedType
","
		23 MethodDeclaration
			23 PredefinedType
			23 ParameterList
				23 Parameter
					23 NullableType
						23 PredefinedType
				23 Parameter
					23 PredefinedType",Rename
"
		14 MethodDeclaration
			14 PredefinedType
			14 ParameterList
				14 Parameter
					14 NullableType
						14 PredefinedType
				14 Parameter
					14 PredefinedType
","
		14 MethodDeclaration
			14 PredefinedType
			14 ParameterList
				14 Parameter
					14 NullableType
						14 PredefinedType
				14 Parameter
					14 PredefinedType",Rename
"
				33 Parameter
					33 PredefinedType
","
				33 Parameter
					33 PredefinedType",Refactor
"
				104 ExpressionStatement
					104 InvocationExpression
						104 SimpleMemberAccessExpression
							104 IdentifierName
							104 IdentifierName
						104 ArgumentList
							104 Argument
								104 InvocationExpression
									104 SimpleMemberAccessExpression
										104 IdentifierName
										104 GenericName
											104 TypeArgumentList
												104 IdentifierName
												104 IdentifierName
									104 ArgumentList
","
				104 ExpressionStatement
					104 InvocationExpression
						104 SimpleMemberAccessExpression
							104 IdentifierName serviceCollection
							104 IdentifierName TryAddEnumerable
						104 ArgumentList
							104 Argument
								104 InvocationExpression
									104 SimpleMemberAccessExpression
										104 IdentifierName ServiceDescriptor
										104 GenericName
											104 TypeArgumentList
												104 IdentifierName IContainerIdProvider
												104 IdentifierName EnvironmentVariableContainerIdProvider
									104 ArgumentList",Remove
"
	18 ClassDeclaration
		18 BaseList
			18 SimpleBaseType
				18 IdentifierName
			18 SimpleBaseType
				18 IdentifierName
","
	18 ClassDeclaration
		18 BaseList
			18 SimpleBaseType
				18 IdentifierName IDisposable
			18 SimpleBaseType
				18 IdentifierName IK8sClientService",Rename
