What do you want to know about GCSE Computer Science?,Section
a lot of coding knowing components and etc,2c
Advanced Coding,2c
Average scores of people in this school who previously took GCSE computing,Nan
do i have to do it?,Nan
do we do photoshop cause?,Nan
Do we do use python or repl.it for coding,2d
"Do we get to programme bots and stuff like that.
",2d
"do we go through the things we did in year 7 and 8
",2e
Do we revise everything we've done in year 7 to 9 during GCSE?,2e
do you do python,2d
"do you have to know about the history of computers/ computer science or do you just learn how to use the computers and coding
",2a
How are the exams conducted: is there like a separate theory paper and a computer-based examination?,3a
How big is the curriculum compared to other subjects,Nan
How format are the questions in. Like in maths its just answering a question. In Geography its more essay based.,3a
How hard is it,5a
How hard it is,5a
How important is it to memorise all of the parts of the computer?,2a
How large is the course? ,2a
How large is the curriculum?,2a
How many CS lessons will we have per fortnight?,Nan
how many lessons of Comp Prog. would we have if we were to take it ( per 2 weeks),Nan
How many units are there in the GCSE course,2a
How much coding is involved in Computer science GCSE?,2d
"How much course work/ extra work/ homework there is

",Nan
"How much do you have to memorize?
",2a
how much harder is it than the stuff we cover now,1b
"How much of GCSE Computer Science is based on coding and programming, i.e. Python, Java, etc.",2d
How much of the course is computer coding e.g. python or some other programming language?,2d
How much of the GCSE exam is written?,3a
how much programming is involved and will we only be using python or other programming langauges like html,2d
How much python and coding will there be on the gcse course?,2d
"How will it affect jobs in the future, such as architecture? Will things mostly be computer-based so is it a necessary subject to take?",7
"How will the exam be set, and what it will be like...",3a
How would the actual exam work? ,3a
"I am considering doing computer science for gcse and I was wondering what do you do during the course, like what do you study and what is involved.",2a
I may want to learn coding,2d
i want to code more things and what careers you can go into with CS,7
"I want to know about programming and how to program games. 
",2d
i want to know which topics are covered and how difficult it is to get a grade 9 ,
I want to know wht the main topics are.,2a
I would like to become more knowledgeable in coding as I don't feel very confident in it.,2d
"I would like to do some programming as I would like to learn it
",
I would like to know if we would take lessons on touch typing in computer science to improve our typing accuraccy and speed.,2a
"i would like to know whether everything covered since year 7 will be on the syllabus
",2a
"I'd like to know how to programme a system that can give instructions to other instruments or devices
",2d
I'd like to know how to programme a system that can operate another device,2d
"If I do not take computer science at GCSE, would  this option still be available to me at A-Level and would I be able to pick this subject at A-Level?",Nan
"If we are taking GCSE Computer Science, will we be taking the actual exam on paper or will it be taken online?",3a
"If you take it and don't like it can you drop it
",Nan
Is all of it on a computer or is there written work?,3a
"Is computer science helpful in future careers such as law or in other similar areas, I don't think it is but I could be wrong?",7
Is it dificult?,5a
is it easy,5a
Is it mainly about the inside of the computer or programming?,2a
"Is it mostly about programming or inside the computer such as the different parts?

",2a
is learning programming code like python compulsory for GCSE computer science or not?,2d
"Is the course based upon software and programming or hardware
",2a
"Is there a lot of coding and programming involved?
",2d
